sgRNA	Gene	D9_rep1_SSEA5_hi	D9_rep1_SSEA5_low	D9_rep2_SSEA5_hi	D9_rep2_SSEA5_low	D9_rep3_SSEA5_hi	D9_rep3_SSEA5_low
EpiKDlib_GADD45B_668	GADD45B	641	434	415	627	497	176
EpiKDlib_ZMYND8_2188	ZMYND8	698	406	385	284	636	105
EpiKDlib_EYA3_620	EYA3	1347	479	999	496	1311	232
EpiKDlib_EID2_543	EID2	285	133	310	294	432	60
EpiKDlib_USP21_2086	USP21	642	308	562	458	422	125
EpiKDlib_NASP_1143	NASP	279	148	273	227	267	65
EpiKDlib_HDAC4_728	HDAC4	329	268	218	274	249	68
EpiKDlib_AURKA_159	AURKA	45	27	35	29	28	3
EpiKDlib_ARID1B_92	ARID1B	252	196	202	202	204	47
EpiKDlib_ZNF541_2200	ZNF541	650	415	469	555	545	186
EpiKDlib_SUPT16H_1836	SUPT16H	542	360	449	347	417	172
EpiKDlib_EZH1_626	EZH1	334	345	229	293	300	144
EpiKDlib_WAC_2121	WAC	656	319	587	486	631	139
EpiKDlib_ATR_148	ATR	360	269	327	315	431	122
EpiKDlib_HDAC3_725	HDAC3	213	114	123	196	189	55
EpiKDlib_TRIM27_2003	TRIM27	236	305	253	386	210	126
EpiKDlib_BRCC3_218	BRCC3	790	281	792	416	621	106
EpiKDlib_PCGF1_1308	PCGF1	332	151	190	202	317	87
EpiKDlib_SET_1652	SET	631	62	504	129	528	37
EpiKDlib_PRKCB_1468	PRKCB	425	209	262	273	237	91
EpiKDlib_CHD2_360	CHD2	270	31	252	47	358	21
EpiKDlib_KMT2D_979	KMT2D	750	278	445	352	624	114
EpiKDlib_RAG2_1524	RAG2	348	235	392	316	372	117
EpiKDlib_JAK2_863	JAK2	314	199	187	220	279	64
EpiKDlib_SFMBT2_1705	SFMBT2	732	237	507	376	535	121
EpiKDlib_PRDM12_1412	PRDM12	280	153	158	185	326	102
EpiKDlib_NO-TARGET_1224	NO-TARGET	603	396	413	435	629	166
EpiKDlib_GSE1_692	GSE1	285	155	222	172	224	41
EpiKDlib_GATAD2A_676	GATAD2A	385	294	269	257	382	99
EpiKDlib_PRMT9_1496	PRMT9	623	192	478	282	391	59
EpiKDlib_NEK6_1173	NEK6	447	329	335	574	375	156
EpiKDlib_HMG20A_774	HMG20A	240	155	129	212	161	85
EpiKDlib_KDM4D_936	KDM4D	556	354	368	426	546	139
EpiKDlib_SIRT2_1722	SIRT2	490	231	281	254	430	115
EpiKDlib_KMT2E_983	KMT2E	127	29	91	53	173	23
EpiKDlib_PRR14_1503	PRR14	481	298	329	373	363	143
EpiKDlib_JARID2_866	JARID2	513	274	435	385	578	175
EpiKDlib_BRCC3_217	BRCC3	602	196	376	196	539	79
EpiKDlib_PAK2_1283	PAK2	456	319	289	311	387	161
EpiKDlib_SATB2_1633	SATB2	368	575	329	647	338	230
EpiKDlib_TFPT_1956	TFPT	331	106	294	172	372	57
EpiKDlib_APOBEC3F_78	APOBEC3F	518	255	356	496	606	140
EpiKDlib_PRKAA1_1446	PRKAA1	468	285	417	477	449	175
EpiKDlib_KDM5B_945	KDM5B	663	317	454	319	507	99
EpiKDlib_HLCS_768	HLCS	653	357	467	618	729	173
EpiKDlib_TP53BP1_1992	TP53BP1	879	438	747	669	867	313
EpiKDlib_TLK2_1972	TLK2	612	366	491	601	552	114
EpiKDlib_HMG20B_779	HMG20B	361	125	300	127	486	99
EpiKDlib_CBX8_298	CBX8	537	309	419	457	522	165
EpiKDlib_RAG1_1519	RAG1	786	483	652	576	961	213
EpiKDlib_UBE2D1_2028	UBE2D1	825	432	662	687	776	160
EpiKDlib_NO-TARGET_1217	NO-TARGET	478	268	397	404	468	134
EpiKDlib_HMGN5_797	HMGN5	192	110	206	135	151	45
EpiKDlib_PHF12_1347	PHF12	460	206	339	343	328	82
EpiKDlib_PRDM13_1415	PRDM13	494	154	395	169	380	49
EpiKDlib_NFYC_1187	NFYC	75	43	45	106	72	29
EpiKDlib_BRDT_241	BRDT	378	199	426	336	387	117
EpiKDlib_FBL_636	FBL	15	6	26	33	23	6
EpiKDlib_HMG20A_776	HMG20A	496	536	523	588	475	205
EpiKDlib_HMGN5_796	HMGN5	782	412	729	680	761	232
EpiKDlib_FOXP4_661	FOXP4	443	364	303	417	217	117
EpiKDlib_TLK2_1971	TLK2	566	300	519	454	512	120
EpiKDlib_SFPQ_1708	SFPQ	519	261	349	376	495	111
EpiKDlib_BCORL1_203	BCORL1	402	217	317	327	452	144
EpiKDlib_ARID4A_96	ARID4A	631	397	489	381	588	146
EpiKDlib_KDM4A_929	KDM4A	202	181	126	210	214	121
EpiKDlib_UBE2H_2038	UBE2H	473	82	352	81	380	45
EpiKDlib_KDM5A_944	KDM5A	599	380	517	643	644	205
EpiKDlib_NCOR2_1171	NCOR2	518	226	415	263	485	104
EpiKDlib_PRDM6_1432	PRDM6	619	412	510	457	516	164
EpiKDlib_KDM2B_918	KDM2B	279	173	253	235	290	59
EpiKDlib_ZHX1_2175	ZHX1	438	247	443	337	411	111
